match,result_link,download_link,downloaded
127 – Este vs Bocas del Toro,https://fedebeis.com.pa/127-este-vs-bocas-del-toro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/127.pdf,True
126 – Metro vs Chiriquí,https://fedebeis.com.pa/126-metro-vs-chiriqui/,https://fedebeis.com.pa/wp-content/uploads/2020/01/126-Corregido.pdf,True
125 – Este vs Occidente,https://fedebeis.com.pa/125-este-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/125.pdf,True
124 – Darién vs Herrera,https://fedebeis.com.pa/124-darien-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/01/124.pdf,True
123 – Coclé vs Veraguas,https://fedebeis.com.pa/123-cocle-vs-veraguas/,https://fedebeis.com.pa/wp-content/uploads/2020/01/123.pdf,True
122 – Los Santos vs Bocas del Toro,https://fedebeis.com.pa/122-los-santos-vs-bocas-del-toro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/122.pdf,True
121 – Oeste vs Colón,https://fedebeis.com.pa/121-oeste-vs-colon/,https://fedebeis.com.pa/wp-content/uploads/2020/01/121.pdf,True
119 – Oeste vs Occidente,https://fedebeis.com.pa/119-oeste-vs-occidente/,https://fedebeis.com.pa/wp-content/uploads/2020/01/119.pdf,True
118 – Darién vs Colón,https://fedebeis.com.pa/118-darien-vs-colon/,https://fedebeis.com.pa/wp-content/uploads/2020/01/118.pdf,True
117 – Metro vs Bocas del Toro,https://fedebeis.com.pa/117-metro-vs-bocas-del-toro/,https://fedebeis.com.pa/wp-content/uploads/2020/01/117.pdf,True
116 – Este vs Herrera,https://fedebeis.com.pa/116-este-vs-herrera/,https://fedebeis.com.pa/wp-content/uploads/2020/01/116.pdf,True
